year,LEO,MEO,GEO,HEO,total
1957,0,0,0,0,0
1958,2,0,0,0,2
1959,7,0,0,0,7
1960,19,0,0,0,19
1961,29,2,0,0,31
1962,49,3,0,0,52
1963,74,9,1,2,86
1964,119,9,2,4,134
1965,209,15,3,6,233
1966,256,31,4,7,298
1967,314,55,8,9,386
1968,362,69,10,10,451
1969,412,78,15,12,517
1970,481,88,18,13,600
1971,593,89,23,15,720
1972,682,94,26,17,819
1973,769,95,30,22,916
1974,862,102,37,23,1024
1975,993,107,49,24,1173
1976,1137,113,61,33,1344
1977,1231,127,71,41,1470
1978,1312,138,78,50,1578
1979,1341,147,87,56,1631
1980,1370,159,95,61,1685
1981,1466,173,107,68,1814
1982,1528,185,121,78,1912
1983,1639,203,137,87,2066
1984,1754,231,153,102,2240
1985,1881,253,173,112,2419
1986,1986,266,182,120,2554
1987,2083,280,193,128,2684
1988,2146,297,208,143,2794
1989,2189,322,220,160,2891
1990,2291,341,238,177,3047
1991,2353,356,251,195,3155
1992,2422,380,264,211,3277
1993,2502,399,279,221,3401
1994,2585,420,299,238,3542
1995,2631,438,314,257,3640
1996,2686,446,329,274,3735
1997,2800,464,341,295,3900
1998,3263,472,346,318,4399
1999,3324,497,354,332,4507
2000,3349,518,375,357,4599
2001,3328,529,385,371,4613
2002,3338,539,396,388,4661
2003,3376,557,413,398,4744
2004,3406,572,426,408,4812
2005,3424,585,437,420,4866
2006,3473,599,454,430,4956
2007,3539,615,465,443,5062
2008,3598,636,490,451,5175
2009,3666,657,516,456,5295
2010,3724,682,542,460,5408
2011,3775,709,569,463,5516
2012,3829,728,604,466,5627
2013,3963,750,628,468,5809
2014,4013,789,658,474,5934
2015,4065,825,691,477,6058
2016,4141,847,726,478,6192
2017,4438,865,760,478,6541
2018,4679,914,788,481,6862
2019,4981,943,815,482,7221
2020,6068,954,833,485,8340
2021,7615,964,858,487,9924
2022,9499,988,885,493,11865
2023,11520,1008,912,496,13936
2024,13011,1026,935,499,15471
2025,16084,1047,958,503,18592
